num,NOMGEO,ingresos_promedio,mundial,Granturismo,5Estrellas,4Estrellas,3Estrellas,2Estrellas,1Estrella,Sinclasificar,cantidad de turistas,usuarios
0,Azcapotzalco,2.666666667,1679.736073,0,0,199,117,255,67,58,655.5221798,2335.258253
1,Coyoacán,3,2686.508462,0,481,186,230,120,0,0,957.85353,3644.361992
2,Cuajimalpa de Morelos,2,634.5166533,0,811,333,62,0,0,0,1135.861708,1770.378361
3,Gustavo A. Madero,1.777777778,3040.100571,0,0,158,1287,362,227,51,1963.741013,5003.841584
4,Iztacalco,2.75,1621.970916,59,0,334,291,105,0,89,826.9374625,2448.908379
5,Iztapalapa,2.166666667,5795.964386,0,96,801,257,304,105,0,1472.099378,7268.063764
6,La Magdalena Contreras,2.666666667,962.3664833,0,286,0,0,0,0,0,269.3668727,1231.733356
7,Milpa Alta,1.666666667,370.87508,0,0,0,0,0,0,0,0,370.87508
8,Álvaro Obregón,3.5,3872.315491,259,1165,754,0,47,0,3,2098.424449,5970.739941
9,Tláhuac,1.6,914.8190762,0,0,100,0,0,0,0,94.18422124,1009.003297
10,Tlalpan,1.875,1912.657331,317,295,337,437,43,0,0,1345.892521,3258.549853
11,Xochimilco,2,1288.871607,0,0,183,54,54,0,11,284.4363481,1573.307955
12,Benito Juárez,3.2,2024.768215,331,764,1572,703,349,134,178,3796.565958,5821.334173
13,Cuauhtémoc,2.6,2068.503419,2081,4635,6362,5911,3306,2772,996,24547.23358,26615.737
14,Miguel Hidalgo,3.428571429,2071.041649,2294,1989,703,620,294,390,303,6209.565706,8280.607355
15,Venustiano Carranza,2.25,1454.984584,0,1266,753,335,476,161,133,2942.315071,4397.299656